iter	Logloss
0	0.671165276
1	0.6507093558
2	0.6332256445
3	0.6166301162
4	0.6015404793
5	0.5888091956
6	0.5775100317
7	0.5666873239
8	0.5566770174
9	0.5470623038
10	0.5386012977
11	0.5312466881
12	0.5242367476
13	0.5179646865
14	0.5121659659
15	0.5073412785
16	0.5020702933
17	0.497251621
18	0.4928608536
19	0.4887981354
20	0.4849640455
21	0.4815338687
22	0.4781030764
23	0.4750562998
24	0.4719176551
25	0.4690781354
26	0.4666298545
27	0.4643555362
28	0.46193957
29	0.4596058549
30	0.4574626597
31	0.4553816268
32	0.4535467962
33	0.4516962872
34	0.4498024383
35	0.4480969567
36	0.4465667247
37	0.4450561708
38	0.4433429786
39	0.4420520604
40	0.4407217008
41	0.4393612092
42	0.4379574967
43	0.4366200645
44	0.4352657777
45	0.4340392424
46	0.4328435723
47	0.431771403
48	0.4307324865
49	0.4296593154
50	0.4286303205
51	0.4275760791
52	0.4266120476
53	0.425536125
54	0.4245982347
55	0.423732127
56	0.4229235861
57	0.4220175764
58	0.4211160811
59	0.4200805352
60	0.419214316
61	0.4183967027
62	0.4174604572
63	0.4166615956
64	0.4160248845
65	0.4153257401
66	0.4145895686
67	0.4138901041
68	0.4132351983
69	0.4125078358
70	0.4119454547
71	0.4114172273
72	0.4107739108
73	0.4101179303
74	0.4094911688
75	0.4089326368
76	0.4082216188
77	0.4076462333
78	0.406975913
79	0.4064246637
80	0.4057739892
81	0.405243002
82	0.4046944671
83	0.4041469295
84	0.4036432038
85	0.4030749618
86	0.4025309404
87	0.4019975746
88	0.4015135731
89	0.4010100186
90	0.4005291449
91	0.399979693
92	0.3993984269
93	0.3989708069
94	0.3984255624
95	0.3980119683
96	0.3975994722
97	0.3970745906
98	0.3966827685
99	0.3961994842
100	0.3957611235
101	0.3952626253
102	0.3948664021
103	0.3945153845
104	0.3940740717
105	0.39366088
106	0.3933164732
107	0.3929097214
108	0.3925177225
109	0.392149118
110	0.391747397
111	0.3912643854
112	0.3908794786
113	0.3905023741
114	0.3900478671
115	0.3897120041
116	0.3893560783
117	0.3889436676
118	0.3885498112
119	0.388202519
120	0.3878267813
121	0.3875123658
122	0.3870918869
123	0.3867325318
124	0.3864426562
125	0.3861370734
126	0.3858279274
127	0.3855183643
128	0.3851672886
129	0.384817261
130	0.3844735428
131	0.3841398461
132	0.3838333993
133	0.3834960948
134	0.3831630477
135	0.3829089581
136	0.3825624928
137	0.3822390845
138	0.3819452047
139	0.3816446844
140	0.3813151744
141	0.3809739991
142	0.3806803753
143	0.3803749705
144	0.3800245669
145	0.3797728956
146	0.3795068025
147	0.3791580775
148	0.3788981944
149	0.3786437987
150	0.3783190211
151	0.3779667554
152	0.3776617909
153	0.3773247531
154	0.3770366464
155	0.3767336902
156	0.3764877536
157	0.3762263745
158	0.3759112779
159	0.3756661527
160	0.3753493132
161	0.3750833949
162	0.3747858379
163	0.3744849562
164	0.3741456446
165	0.3738309135
166	0.3735874648
167	0.3733019859
168	0.3730756757
169	0.3728083703
170	0.3726101662
171	0.3722594329
172	0.3720334526
173	0.3717635927
174	0.3715143353
175	0.371178012
176	0.370930582
177	0.3706197655
178	0.3703206293
179	0.3700476746
180	0.3697833254
181	0.3695108948
182	0.3692438074
183	0.3689183917
184	0.3686495416
185	0.3683669622
186	0.3680073492
187	0.3677333148
188	0.3674526992
189	0.3671551823
190	0.3668859128
191	0.3665833171
192	0.3663235968
193	0.3660354495
194	0.3656980568
195	0.3654191228
196	0.3651195092
197	0.3648861929
198	0.3646237633
199	0.3642490488
200	0.3639236416
201	0.3635955057
202	0.3632943122
203	0.3629764408
204	0.3626797167
205	0.3623871124
206	0.3620459581
207	0.3616770487
208	0.3614137113
209	0.3611936279
210	0.3609069573
211	0.3606259676
212	0.3603423784
213	0.3600536927
214	0.3597807798
215	0.3594597873
216	0.3591888893
217	0.3588880502
218	0.3585912378
219	0.3582945249
220	0.3580177116
221	0.3577496411
222	0.3574537578
223	0.3572024929
224	0.356926316
225	0.3567107927
226	0.3563943436
227	0.3561092271
228	0.355849054
229	0.3555597265
230	0.3552751001
231	0.3550134378
232	0.3547020465
233	0.35442674
234	0.3541061114
235	0.353809248
236	0.3535026687
237	0.3532278532
238	0.352955911
239	0.3526400376
240	0.3523352713
241	0.3520689085
242	0.3517826296
243	0.3514983698
244	0.35112974
245	0.3508391895
246	0.3505793866
247	0.3502899836
248	0.3500091345
249	0.3497323851
250	0.3495439742
251	0.3492308951
252	0.3489488404
253	0.3487258025
254	0.3485509548
255	0.3482763794
256	0.3480020947
257	0.3476932893
258	0.3474408644
259	0.3471516454
260	0.3469025578
261	0.3466692204
262	0.3464077838
263	0.3461748623
264	0.3459046895
265	0.3456439823
266	0.3453569588
267	0.3450937016
268	0.3448505577
269	0.3445866623
270	0.3443204136
271	0.3440475189
272	0.3437802118
273	0.3435005756
274	0.3432531758
275	0.3429868614
276	0.3427433502
277	0.3425411491
278	0.3423165181
279	0.3420518802
280	0.3417656511
281	0.3414900653
282	0.3412926539
283	0.3410260723
284	0.3407837982
285	0.3405436366
286	0.3402709097
287	0.3399884219
288	0.3397371719
289	0.3394613911
290	0.3392131461
291	0.3389557921
292	0.3387356155
293	0.3385119619
294	0.338241245
295	0.337983803
296	0.337777465
297	0.3375439935
298	0.3372959068
299	0.3370553765
300	0.3368075451
301	0.3365769923
302	0.3363181438
303	0.3361334116
304	0.3359375954
305	0.3356670824
306	0.3354292726
307	0.3351742397
308	0.3349652751
309	0.3347641447
310	0.3344925558
311	0.3342694984
312	0.3340636876
313	0.333795494
314	0.3335506851
315	0.3333604909
316	0.3331418397
317	0.3329082423
318	0.3326930994
319	0.3324519065
320	0.3322244543
321	0.3319924249
322	0.331782901
323	0.3315391706
324	0.3312763786
325	0.3310346955
326	0.3307981488
327	0.3305781863
328	0.3303341104
329	0.3301062836
330	0.3298896253
331	0.3296813124
332	0.3294604234
333	0.3292381452
334	0.3290147782
335	0.3288016147
336	0.328583608
337	0.3283838298
338	0.3281967825
339	0.3279923431
340	0.3277393156
341	0.3274942197
342	0.3272404365
343	0.3270557593
344	0.3268527101
345	0.3266581359
346	0.3264259903
347	0.3262150238
348	0.3260201544
349	0.3257889596
350	0.3255423377
351	0.3253269188
352	0.3250917723
353	0.3248786312
354	0.3246790807
355	0.3244481587
356	0.3242391606
357	0.3240226539
358	0.323825431
359	0.3235990827
360	0.3233850773
361	0.323198264
362	0.3229756929
363	0.3227281017
364	0.3225182828
365	0.3223058356
366	0.3221133808
367	0.3218964707
368	0.321670614
369	0.3214278772
370	0.3212401287
371	0.3209663051
372	0.3207941552
373	0.3205668327
374	0.3203516157
375	0.3201529134
376	0.3199355508
377	0.3196709646
378	0.3194820161
379	0.319275636
380	0.319116854
381	0.3189088322
382	0.3187057379
383	0.3184714291
384	0.3183108874
385	0.3180957233
386	0.3178765414
387	0.3176671092
388	0.3175021649
389	0.3173420824
390	0.3171267662
391	0.3169252025
392	0.3167353754
393	0.3165663748
394	0.316324494
395	0.3161161132
396	0.3159233687
397	0.3157383167
398	0.3155729755
399	0.3154382514
400	0.3152252759
401	0.3150317069
402	0.3148757152
403	0.3146688145
404	0.3144490295
405	0.314222981
406	0.314018427
407	0.3137851979
408	0.3135679526
409	0.3133523118
410	0.3131397085
411	0.3129526681
412	0.3127521756
413	0.3125641897
414	0.3123428127
415	0.3121232071
416	0.3119203014
417	0.3117147885
418	0.3115042317
419	0.3112916181
420	0.3111017366
421	0.3109035169
422	0.3107048885
423	0.3104869499
424	0.310323834
425	0.3101434034
426	0.3100196393
427	0.309827396
428	0.3095999718
429	0.3093723907
430	0.3091908553
431	0.3090097953
432	0.3088227114
433	0.308650227
434	0.3084477442
435	0.3082372171
436	0.3080524113
437	0.3078658586
438	0.3077059693
439	0.3075056972
440	0.3072942112
441	0.3071103383
442	0.3069218448
443	0.3067318217
444	0.3065316477
445	0.3063558649
446	0.3061872388
447	0.3059705541
448	0.3057760576
449	0.3056259712
450	0.3054481023
451	0.3052543889
452	0.3050377542
453	0.3048541535
454	0.3046419397
455	0.3044831371
456	0.304264614
457	0.3040755781
458	0.3038791293
459	0.3036946829
460	0.3034888209
461	0.3032848631
