iter	Passed	Remaining
0	9	9737
1	18	9164
2	26	8842
3	35	8781
4	43	8666
5	51	8592
6	60	8644
7	69	8566
8	77	8538
9	85	8498
10	93	8443
11	102	8418
12	110	8407
13	119	8383
14	127	8355
15	135	8349
16	143	8316
17	153	8362
18	161	8352
19	170	8335
20	178	8317
21	186	8286
22	194	8263
23	203	8265
24	211	8243
25	220	8244
26	228	8251
27	238	8267
28	246	8245
29	254	8233
30	262	8204
31	270	8187
32	279	8178
33	287	8166
34	295	8147
35	303	8130
36	311	8105
37	319	8096
38	328	8092
39	337	8091
40	345	8070
41	353	8064
42	361	8053
43	369	8031
44	377	8006
45	385	8003
46	394	7995
47	401	7967
48	410	7959
49	419	7966
50	428	7977
51	437	7976
52	445	7964
53	453	7947
54	462	7949
55	471	7945
56	479	7924
57	487	7921
58	496	7912
59	504	7905
60	512	7896
61	520	7880
62	529	7872
63	537	7860
64	545	7851
65	553	7838
66	562	7835
67	570	7818
68	578	7809
69	587	7800
70	594	7784
71	602	7766
72	610	7753
73	618	7744
74	627	7745
75	636	7732
76	644	7723
77	652	7712
78	660	7703
79	669	7696
80	677	7681
81	685	7669
82	693	7662
83	701	7653
84	710	7646
85	719	7643
86	728	7645
87	737	7639
88	745	7629
89	753	7617
90	761	7603
91	769	7594
92	777	7583
93	785	7567
94	793	7560
95	801	7548
96	810	7540
97	818	7534
98	827	7529
99	836	7524
100	844	7516
101	852	7507
102	860	7495
103	868	7486
104	876	7474
105	885	7467
106	893	7458
107	901	7449
108	910	7441
109	918	7432
110	934	7481
111	950	7535
112	960	7542
113	968	7530
114	976	7517
115	985	7506
116	993	7498
117	1002	7492
118	1011	7486
119	1019	7476
120	1031	7492
121	1040	7486
122	1048	7476
123	1056	7465
124	1065	7457
125	1073	7448
126	1082	7441
127	1091	7436
128	1100	7427
129	1108	7416
130	1117	7410
131	1126	7405
132	1134	7396
133	1143	7387
134	1151	7379
135	1160	7370
136	1168	7362
137	1177	7352
138	1185	7342
139	1193	7334
140	1202	7326
141	1211	7317
142	1219	7308
143	1230	7314
144	1239	7309
145	1248	7300
146	1256	7290
147	1264	7281
148	1277	7296
149	1287	7297
150	1298	7299
151	1306	7287
152	1314	7276
153	1322	7265
154	1330	7255
155	1339	7248
156	1349	7243
157	1359	7244
158	1368	7240
159	1377	7231
160	1386	7222
161	1394	7215
162	1403	7206
163	1412	7199
164	1420	7190
165	1430	7185
166	1438	7176
167	1447	7166
168	1455	7156
169	1463	7143
170	1471	7133
171	1479	7124
172	1488	7115
173	1497	7107
174	1505	7098
175	1514	7091
176	1523	7083
177	1531	7073
178	1540	7064
179	1548	7056
180	1557	7049
181	1566	7040
