iter	Logloss
0	0.6713391068
1	0.6515687135
2	0.6336494237
3	0.6181264372
4	0.6037058163
5	0.5915987164
6	0.5803539764
7	0.5706371699
8	0.5614186006
9	0.553162074
10	0.5455857113
11	0.5387007038
12	0.5324410337
13	0.5266751498
14	0.5213808795
15	0.5169900739
16	0.5123872981
17	0.5084956413
18	0.5047642678
19	0.5013249465
20	0.4982004255
21	0.4952020138
22	0.4922928698
23	0.4896053436
24	0.4870013215
25	0.4846343526
26	0.4824561679
27	0.4802901613
28	0.4781411133
29	0.4762703341
30	0.4744032459
31	0.4727177897
32	0.4709258304
33	0.4691470671
34	0.4674947159
35	0.4659331556
36	0.4642864786
37	0.4629456586
38	0.4616846358
39	0.4603821076
40	0.4592242622
41	0.4580313524
42	0.456775782
43	0.4555217613
44	0.4543995311
45	0.4534419741
46	0.4524706466
47	0.4514533752
48	0.4503163256
49	0.4491694449
50	0.4481807546
51	0.4471660035
52	0.4462950318
53	0.4455266668
54	0.4446686606
55	0.4438930047
56	0.4431426609
57	0.4423257453
58	0.4415561612
59	0.4408327261
60	0.4401159202
61	0.4393865661
62	0.4386895927
63	0.4379564391
64	0.4373394356
65	0.436673529
66	0.4360891566
67	0.4352509988
68	0.4346424822
69	0.4339440833
70	0.4333509395
71	0.4327867027
72	0.4320922344
73	0.4315383994
74	0.4308963118
75	0.4304049636
76	0.4299222111
77	0.4294129528
78	0.4288372447
79	0.4282622223
80	0.4277624056
81	0.4273164043
82	0.4268285181
83	0.4262996399
84	0.4256916228
85	0.4251046485
86	0.4246531489
87	0.4242123074
88	0.4237120913
89	0.4232149227
90	0.4227070779
91	0.4222461505
92	0.4218063993
93	0.4214015697
94	0.4210414247
95	0.4205238927
96	0.4201433793
97	0.4197589834
98	0.4193807052
99	0.4189014475
100	0.418512605
101	0.4181461891
102	0.4177737817
103	0.4174065757
104	0.4171025946
105	0.4166956318
106	0.4163352819
107	0.4159508086
108	0.4156414811
109	0.4152216036
110	0.414812201
111	0.4144650502
112	0.4140623694
113	0.4137265323
114	0.4133512073
115	0.4130359224
116	0.4127279792
117	0.4124298233
118	0.4121608015
119	0.4118526546
120	0.4115628201
121	0.4112227064
122	0.4109538664
123	0.4106485084
124	0.4102420704
125	0.4099028376
126	0.409613415
127	0.4093713964
128	0.4090542998
129	0.4086578958
130	0.4084448008
131	0.408168185
132	0.40792096
133	0.407599037
134	0.4073094367
135	0.4070091089
136	0.4066970875
137	0.4064887677
138	0.4061829101
139	0.4059260816
140	0.4057226455
141	0.4054786809
142	0.4052450952
143	0.4048925661
144	0.4046066588
145	0.4043577351
146	0.4040310121
147	0.4037919717
148	0.4035588414
149	0.4032700284
150	0.4030242786
151	0.4027600358
152	0.4025075466
153	0.4022198485
154	0.4019596321
155	0.4017152074
156	0.4014430433
157	0.4012182449
158	0.4009423051
159	0.4007210113
160	0.400460762
161	0.4002217743
162	0.3999894621
163	0.3997383882
164	0.3995024751
165	0.3992888689
166	0.3990159717
167	0.3987939767
168	0.3985630312
169	0.3983542987
170	0.3980969747
171	0.3977998643
172	0.3975822304
173	0.3973054268
174	0.3971179668
175	0.3968970831
176	0.3966551438
177	0.3963911387
178	0.3961383705
179	0.3958929544
180	0.3955665745
181	0.3953325733
182	0.3951054251
183	0.3948867217
184	0.3945772111
185	0.3943434365
186	0.3940732684
187	0.3938195062
188	0.3935661043
189	0.3933360446
190	0.3931064296
191	0.3928046482
192	0.3925553211
193	0.3922680645
194	0.3920293957
195	0.3918216504
196	0.3916172461
197	0.3913688335
198	0.3911312387
199	0.3908831736
200	0.3905467971
201	0.3903239961
202	0.3900910565
203	0.3897968255
