iter	Passed	Remaining
0	121	121381
1	233	116635
2	337	112297
3	448	111724
4	558	111075
5	666	110403
6	775	109941
7	885	109823
8	993	109365
9	1105	109486
10	1213	109082
11	1328	109398
12	1437	109107
13	1550	109165
14	1654	108648
15	1759	108179
16	1871	108229
17	1982	108164
18	2100	108474
19	2207	108188
20	2320	108184
21	2436	108295
22	2548	108265
23	2658	108123
24	2766	107903
25	2872	107619
26	2983	107518
27	3089	107251
28	3195	106981
29	3309	106991
30	3424	107046
31	3532	106857
32	3642	106738
33	3756	106716
34	3866	106602
35	3982	106637
36	4091	106490
37	4197	106264
38	4306	106124
39	4414	105957
40	4523	105807
41	4638	105806
42	4746	105629
43	4855	105502
44	4965	105382
45	5072	105203
46	5183	105104
47	5294	104998
48	5399	104797
49	5506	104628
50	5614	104466
51	5726	104391
52	5839	104335
53	5944	104137
54	6054	104019
55	6161	103865
56	6263	103614
57	6372	103495
58	6484	103422
59	6598	103383
60	6708	103272
61	6819	103172
62	6920	102926
63	7025	102750
64	7132	102594
65	7237	102421
66	7343	102255
67	7452	102144
68	7564	102061
69	7668	101885
70	7778	101773
71	7891	101716
72	7995	101527
73	8105	101433
74	8220	101388
75	8322	101180
76	8434	101098
77	8539	100940
78	8652	100870
79	8750	100633
80	8856	100481
81	8966	100382
82	9070	100215
83	9176	100070
84	9280	99905
85	9388	99783
86	9494	99635
87	9597	99463
88	9709	99385
89	9814	99236
90	9924	99136
91	10032	99012
92	10140	98895
93	10248	98782
94	10362	98719
95	10471	98603
96	10573	98432
97	10675	98260
98	10780	98112
99	10885	97969
100	10993	97849
101	11093	97664
102	11196	97503
103	11298	97338
104	11412	97281
105	11512	97093
106	11614	96934
107	11721	96809
108	11827	96683
109	11940	96607
110	12053	96533
111	12164	96443
112	12268	96305
113	12375	96177
114	12479	96036
115	12594	95979
116	12707	95906
117	12813	95773
118	12920	95654
119	13027	95533
120	13132	95400
121	13233	95237
122	13344	95149
123	13454	95047
124	13561	94929
125	13668	94815
126	13776	94699
127	13884	94586
128	13991	94469
129	14092	94309
130	14198	94188
131	14306	94072
132	14407	93921
133	14513	93794
134	14619	93672
135	14731	93590
136	14835	93452
137	14943	93342
138	15048	93211
139	15146	93044
140	15250	92911
141	15363	92828
142	15466	92690
143	15567	92539
144	15670	92400
145	15782	92319
146	15890	92206
147	15997	92094
148	16103	91975
149	16209	91855
150	16316	91738
151	16427	91647
152	16533	91530
153	16635	91385
154	16740	91263
155	16845	91140
156	16950	91012
157	17058	90904
158	17165	90793
159	17273	90685
160	17378	90560
161	17481	90427
162	17575	90247
163	17679	90120
164	17780	89981
165	17883	89849
166	17988	89729
167	18093	89603
168	18197	89480
169	18304	89369
170	18414	89271
171	18515	89133
172	18625	89037
173	18752	89018
174	18859	88908
175	18978	88855
176	19093	88781
177	19203	88683
178	19305	88544
179	19409	88420
180	19511	88284
181	19611	88144
182	19719	88038
183	19821	87905
184	19917	87745
185	20020	87614
186	20135	87542
187	20235	87402
188	20338	87272
189	20433	87112
190	20544	87017
